function,address,instruction,src_regs(USE),dst_regs(DEF),indirect_call,indirect_jump,is_ret,indirect_type,indirect_severity,dfi_violation,violation_reason
test_all,0x1381,endbr64,-,-,No,No,No,-,none,OK,none
test_all,0x1385,push %rbp,rbp,rsp,No,No,No,-,none,OK,none
test_all,0x1386,"mov %rsp,%rbp",rsp,rbp,No,No,No,-,none,OK,none
test_all,0x1389,call 1090 <test_returns@plt>,-,rax,No,No,No,-,none,OK,none
test_all,0x138e,call 1100 <test_indirect_call@plt>,-,rax,No,No,No,-,none,OK,none
test_all,0x1393,"mov $0x0,%edi",-,rdi,No,No,No,-,none,OK,none
test_all,0x1398,call 10a0 <test_indirect_jump@plt>,-,rax,No,No,No,-,none,OK,none
test_all,0x139d,call 10f0 <test_ff_instructions@plt>,-,rax,No,No,No,-,none,OK,none
test_all,0x13a2,"mov $0xa,%edi",-,rdi,No,No,No,-,none,OK,none
test_all,0x13a7,call 10e0 <test_ifelse@plt>,-,rax,No,No,No,-,none,OK,none
test_all,0x13ac,"mov $0xfffffffb,%edi",-,rdi,No,No,No,-,none,OK,none
test_all,0x13b1,call 10e0 <test_ifelse@plt>,-,rax,No,No,No,-,none,OK,none
test_all,0x13b6,"mov $0x0,%edi",-,rdi,No,No,No,-,none,OK,none
test_all,0x13bb,call 10e0 <test_ifelse@plt>,-,rax,No,No,No,-,none,OK,none
test_all,0x13c0,"mov $0x1,%edi",-,rdi,No,No,No,-,none,OK,none
test_all,0x13c5,call 1110 <test_switch@plt>,-,rax,No,No,No,-,none,OK,none
test_all,0x13ca,"mov $0x2,%edi",-,rdi,No,No,No,-,none,OK,none
test_all,0x13cf,call 1110 <test_switch@plt>,-,rax,No,No,No,-,none,OK,none
test_all,0x13d4,"mov $0x63,%edi",-,rdi,No,No,No,-,none,OK,none
test_all,0x13d9,call 1110 <test_switch@plt>,-,rax,No,No,No,-,none,OK,none
test_all,0x13de,nop,-,-,No,No,No,-,none,OK,none
test_all,0x13df,pop %rbp,rsp,rbp,No,No,No,-,none,OK,none
test_all,0x13e0,ret,rsp,rsp,No,Yes,Yes,ret,high,WARNING,ret target rsp L1: defined at 0x1385 (push %rbp); ret target rbp L2: no local rsp definition
_fini,0x13e4,endbr64,-,-,No,No,No,-,none,OK,none
_fini,0x13e8,"sub $0x8,%rsp",rsp,"rsp,eflags",No,No,No,-,none,OK,none
_fini,0x13ec,"add $0x8,%rsp",rsp,"rsp,eflags",No,No,No,-,none,OK,none
_fini,0x13f0,ret,rsp,rsp,No,Yes,Yes,ret,high,WARNING,"ret target rsp L1: defined at 0x13ec (add $0x8,%rsp); ret target rsp L2: defined at 0x13e8 (sub $0x8,%rsp); ret target rsp L3: no local rsp definition"
